,FLT3,FANCL,SYK,CEP76,ELF3,JAK2,CCNE1,TPX2,GSK3B
TCGA-BH-A0HO-01,2.5452,185.8201,426.1878,140.5543,2101.2443,462.6697,24.3213,633.4842,1369.9095
TCGA-E9-A1R3-01,5.7615,225.1102,634.519,172.0942,6747.996,373.998,14.0281,27.8056,1790.3307
TCGA-BH-A0DS-01,12.482,179.2799,743.639,99.856,8087.8541,228.0365,39.3663,366.2986,1481.037
TCGA-AQ-A54N-01,0.0,477.0923,68.3582,135.3492,9862.0361,104.588,638.4655,1250.9549,1202.4206
TCGA-LL-A6FQ-01,96.5615,272.0207,306.1705,65.9444,8573.7164,58.8789,75.8361,721.6203,652.3787
TCGA-AR-A24P-01,82.164,314.7982,960.7985,175.3219,5821.785,398.0906,67.4092,1343.2663,2378.1282
TCGA-AN-A04A-01,20.3081,212.2374,300.7703,144.958,2403.0112,183.1232,59.8739,1087.8852,1824.2297
TCGA-E9-A1R5-01,1.968,247.2292,136.1214,121.3612,2574.8257,295.859,36.7364,697.007,2022.4682
TCGA-BH-A0DQ-01,232.121,361.8921,510.4209,198.2019,2526.7675,420.5149,32.2844,1487.1271,1448.7127
TCGA-UU-A93S-01,0.7236,281.1867,59.3343,44.8625,6424.0232,213.4588,307.5253,2238.7844,1452.2431
TCGA-E2-A1IL-01,267.7978,157.2853,230.196,152.2412,2588.1004,457.6407,23.3864,370.5147,1999.7707
TCGA-A2-A0CU-01,199.6945,411.6571,1279.8778,86.6743,3180.9851,425.735,105.0019,1312.333,1948.0718
TCGA-BH-A6R9-01,10.9935,196.4821,1023.2085,138.4365,166.9381,662.4593,104.6417,574.9186,1313.9251
TCGA-AR-A0TR-01,104.3688,472.3924,523.2173,194.1809,4446.66,446.8632,13.7327,367.7627,2527.6474
TCGA-AN-A0XV-01,61.0181,408.5983,514.6444,179.5676,4051.2552,377.9637,24.0586,927.4756,1677.1269
TCGA-AN-A0XL-01,17.5906,255.9165,231.2972,194.619,5875.9959,721.213,20.2104,1293.4676,1695.0564
TCGA-AN-A0XW-01,133.048,357.8098,1217.6619,166.5046,2192.5695,625.5592,194.5147,1703.9486,2076.6388
TCGA-AN-A0FF-01,510.9046,504.6839,791.7549,153.4922,5325.8489,465.6299,65.8875,1465.3538,1504.7391
TCGA-AQ-A0Y5-01,18.0037,266.9244,472.3325,139.0875,1685.2881,254.876,46.9508,413.7322,2410.7316
TCGA-AC-A23H-01,0.5951,397.5779,1130.7,131.5183,1793.9448,688.8343,149.9665,2783.9024,2907.0892
TCGA-BH-A0HK-01,6.8493,322.3235,1665.4373,175.4478,7585.8799,418.3351,30.0316,688.6196,955.216
TCGA-E9-A1R4-01,25.4345,279.3858,1340.4762,209.437,2603.0593,464.5765,123.5956,1319.8107,1689.0079
TCGA-EW-A1PC-01,0.0,330.8655,1059.2662,181.0913,4456.0207,340.3104,6829.2568,14412.9821,3674.7413
TCGA-AN-A0FD-01,47.0367,354.5955,959.5484,183.9135,4116.651,351.3641,46.5663,1281.2794,1359.3603
TCGA-AC-A3EH-01,3.801,183.027,731.5135,72.5639,7657.5674,249.1361,36.973,809.6061,1334.1396
TCGA-E9-A1RF-01,49.8331,406.8872,556.3558,110.2472,6733.2701,331.7655,82.6001,1730.5054,3556.581
TCGA-AN-A0FS-01,204.3619,371.6828,1096.7674,148.9031,3473.6454,305.9097,24.0575,451.2675,1507.7702
TCGA-AN-A0FK-01,2.9776,166.6735,712.0127,171.5828,5251.326,313.0176,34.9865,793.1516,1521.5409
TCGA-AN-A0FT-01,1.6606,283.36,225.8477,150.7035,7285.6652,173.1223,19.9277,398.5548,1075.2677
TCGA-LD-A7W5-01,326.066,386.0372,832.6387,127.605,3371.2728,297.5313,49.6954,676.4989,852.8374
TCGA-E9-A249-01,1008.769,390.3343,641.92,246.588,2223.5116,961.0338,61.9767,1947.122,1842.9485
TCGA-AN-A0FN-01,127.7802,198.1436,811.8596,152.0551,1231.2755,751.5096,63.0472,599.7916,1400.8624
TCGA-A2-A4RW-01,103.5109,300.1937,1084.1404,175.5448,4868.6441,470.9443,96.8523,691.2833,1633.7772
TCGA-AN-A0AK-01,3.7783,287.9051,939.9664,250.6297,1351.3854,187.2376,248.9505,3672.1243,3599.916
TCGA-BH-A18T-01,5.0879,531.2974,497.4179,152.9365,3376.2763,295.398,3481.9252,5913.0476,2751.6607
TCGA-GI-A2C8-01,3.3467,117.2892,1064.257,145.5823,13923.3601,430.7229,14.3909,112.1151,2119.1432
