,FLT3,FANCL,SYK,CEP76,ELF3,JAK2,CCNE1,TPX2,GSK3B
TCGA-EW-A1PB-01,7.4226,462.1191,809.3821,226.2268,4834.3478,1677.1766,1073.6899,3075.2002,1212.4596
TCGA-D8-A1JL-01,43.5128,371.1129,853.1443,216.5862,3035.8736,775.1635,436.5948,1197.8244,1004.2168
TCGA-D8-A13Z-01,17.5439,639.7625,926.3158,251.8219,4359.2443,380.027,468.2861,3323.8866,2828.8799
TCGA-A7-A4SE-01,13.4911,290.8158,634.0827,253.3984,6070.4178,238.1476,520.288,3284.7946,1259.3668
TCGA-EW-A1OW-01,2.3995,604.5303,772.6455,298.5003,2815.117,410.7978,305.219,2937.0126,2094.781
TCGA-BH-A0WA-01,0.6842,464.7807,744.3662,249.7184,2779.4003,250.4026,149.8311,3122.8486,1867.0728
TCGA-AR-A0TU-01,5.6347,1313.9552,329.316,445.4531,3850.6809,302.0817,369.6979,6904.3669,842.6984
TCGA-A7-A26G-01,49.8307,521.5001,1178.4137,219.5836,1833.3314,662.3101,165.646,2280.7124,2331.6383
TCGA-A2-A0CM-01,17.0763,307.9497,427.8297,293.5272,9396.5617,803.046,1686.3967,5661.9361,1704.396
TCGA-EW-A6SB-01,38.2206,509.4486,959.2732,217.4185,6138.4712,412.9073,390.9774,2021.3033,911.6541
TCGA-EW-A1OV-01,65.4008,216.9673,1222.0464,106.0127,1401.3713,575.9494,70.6751,1492.0886,1774.789
TCGA-AQ-A04J-01,71.7233,600.5141,1808.9495,172.6436,3298.0006,667.7245,287.2104,2909.2352,2137.4167
TCGA-OL-A6VO-01,13.4318,625.4634,1032.908,357.9584,2529.2142,583.949,255.2048,2834.4527,934.184
TCGA-EW-A1P4-01,14.0471,1276.6135,2045.1784,316.6287,3606.3022,330.6758,611.6173,5738.041,1841.6856
TCGA-A1-A0SK-01,218.7205,980.1859,971.6357,539.5525,4926.2528,238.2603,551.8437,4394.5793,2483.4541
TCGA-E2-A14X-01,45.934,328.2307,1122.1369,213.9425,11143.2316,505.5233,302.8147,1800.4119,2127.4418
TCGA-LL-A441-01,107.6911,254.9886,1763.9928,119.9717,2042.3522,473.274,103.2827,1154.373,1425.8049
TCGA-AC-A2QH-01,0.0,312.8689,231.657,265.4575,4.9464,225.0618,206.925,2105.5235,774.9382
TCGA-AR-A1AY-01,2.9393,501.0563,234.0406,290.6218,5817.948,472.4901,687.7928,5056.3057,2961.33
TCGA-A2-A0D2-01,25.5036,435.3096,360.377,290.1497,1973.7572,323.7849,449.8244,5503.6038,1015.3391
TCGA-C8-A3M7-01,21.3255,369.8064,263.1234,141.0761,4601.0499,631.8898,68.5696,705.7087,1412.7297
TCGA-A8-A07C-01,70.2128,1597.492,1755.0532,311.4362,960.1064,235.1064,283.2447,5528.7234,2638.0319
TCGA-A7-A0DA-01,0.3347,217.3461,348.7282,238.2865,7038.4873,371.8206,100.0669,2005.3548,2554.2169
TCGA-A2-A3XY-01,38.701,264.4199,593.4152,103.9925,2381.5588,391.7488,1504.0731,1740.2282,1252.9116
TCGA-AO-A0J6-01,7.6594,280.0204,1362.0987,154.4648,7837.8758,314.8018,468.756,3745.4522,1379.7153
TCGA-B6-A3ZX-01,115.153,393.8167,1711.4576,115.483,1821.0014,557.9477,174.2143,2234.7604,935.412
TCGA-E2-A14R-01,7.7955,965.4477,931.7895,144.9043,10307.0045,961.5958,609.4234,4701.1349,1130.3451
TCGA-BH-A0B3-01,14.2048,287.6284,1216.6235,144.3517,5296.0937,424.9928,327.8626,7838.7561,1184.3747
TCGA-E2-A1LL-01,9.7884,309.6819,131.8555,130.7039,642.5795,93.8535,219.3753,3687.9228,3167.4104
TCGA-E2-A14N-01,50.0334,1071.3457,557.9623,195.6665,5071.2474,477.1047,826.4454,4480.2273,1407.1907
TCGA-A2-A3XX-01,13.3665,411.7454,639.5339,191.9287,7872.1618,204.267,281.0385,3519.8355,978.151
TCGA-A2-A0SX-01,55.8767,417.6525,1634.8748,138.7283,6574.8234,789.6596,546.885,2482.659,2276.1721
TCGA-BH-A18V-06,45.8773,492.5072,1146.9322,99.0136,5837.1589,1401.2898,315.9145,3271.8055,678.287
TCGA-BH-A0B9-01,27.0936,725.9584,501.1196,283.923,16491.0434,286.6099,599.8657,3797.1339,1001.5674
TCGA-AO-A0J4-01,42.3173,278.0881,882.2892,128.2264,3898.7955,458.3519,180.9955,3159.2633,2888.2799
