,FLT3,FANCL,SYK,CEP76,ELF3,JAK2,CCNE1,TPX2,GSK3B
MB-3063,5.543343814,6.553940804,7.717393387,5.826373292,9.216692338,5.973079296,7.594401274,8.010496096,8.910527265
MB-3046,5.33555451,6.638283912,7.597764774,5.5997203089999985,8.443072358,6.184245657000001,7.217219458,7.910109079,8.99308771
MB-3067,5.776336652,7.385367088,8.050524447,5.514272431,9.503041987000001,7.124874201,7.2644120239999985,7.799023232000001,7.766173866
MB-2754,5.637307927,6.907049458,7.524916289,5.663771593,9.356514962,6.259545116,5.912429682999999,6.683680659,7.939270425
MB-2753,5.53983843,7.436034639,7.786388735,5.43609974,8.202619279,6.106933235,8.768093529,8.6921478,7.968464431
MB-3014,5.424006508,6.777049482000001,8.662668357000001,5.389394495,9.582143765,6.62216466,8.411359146,7.072788588,8.70726207
MB-3476,5.904739813,6.763320031,8.575863648,5.556785276,7.982184366,7.816589404,8.436562415,7.6565851710000015,9.103666203
MB-3277,5.574595863,7.729465435,8.244102128,5.52647985,8.696266457,6.056308838,8.306770582999999,8.231837958,8.237180673
MB-3271,5.658232118,8.196481815,7.472382667000001,5.585929172999999,8.647726678,6.540258564,8.23912846,7.297156431,8.495677654
MB-3292,5.821038637000001,7.163504842,8.395099132,5.321558269,8.329770087,6.220833839,7.903836155,7.61849648,8.473523875
MB-2556,5.737762383,6.258436704,8.364454934,5.430299897,5.628350822000001,6.741789259,6.349767673,5.518121295,8.04472444
MB-2922,5.361247695,6.54127081,7.418028177999999,5.295326901,8.719829175,6.3140763810000005,8.508620771,7.035571447000001,8.727247765
MB-2917,5.410928979,7.414436200000001,7.811415038,5.365967221,9.164886618999999,6.408382927999999,8.659473791,7.69931995,8.961051931
MB-3706,5.339075212,6.749224306,7.762726783,5.337744605,9.234640909,7.207099447,6.917106058,7.153406076,7.934934694
MB-3453,5.434703796,6.809051987,7.774860997,5.227485837,10.25516417,6.177391161,5.917102895,6.546633536,8.550542444
MB-2842,5.42383354,7.079434486,7.146549792999999,5.51851094,9.339668445,6.162298607,7.299662829,8.187204808999999,8.175646401
MB-2912,5.627642957999999,6.918532594,8.00585286,5.340682367,9.305944123,6.378653758,7.416344277,6.852651632000001,9.019450809
MB-2849,5.56320055,6.821553625,7.917695697,5.387755447999999,9.438421616,6.759343258,6.835768315,7.510146242,8.768646617
MB-3058,5.440834364,6.827352169,8.251046077,5.470419141,8.763814168,6.166493349,6.5701342710000015,6.841012852,8.641301334
MB-3057,5.505601474,7.550094262999999,8.405364326,5.490284485,9.503622497,6.237938182000001,8.11456401,8.659264309,8.225437134
MB-3395,5.78786308,7.29662749,8.433927157000001,5.552179917999999,8.642785715,6.712634712000001,6.2299126089999985,7.451864667000001,8.087622604
MB-3123,5.489813729,6.676481991,8.080979896,5.627486104,9.333787316,5.912215164,8.400775637999999,8.162736265,8.010822298999999
MB-2834,5.456931968999998,6.625562134,8.146052932,5.594456126,8.135208052000001,6.507194523,6.126730839,6.94763865,9.195630031
MB-2857,5.861861544,6.894929958,8.706107167999999,5.503196442999999,9.079819939,6.884413405,6.684037504,6.581540303,8.015146223
MB-2827,5.59441441,6.995216887000001,8.812266686000001,5.528559845,9.094417105,6.4039598710000005,7.849723527,8.1165539,8.355907778999999
MB-3702,5.655059838,7.213221497999999,8.236906298,5.38028825,8.080618081,6.131037227,7.513707928,6.637171842000001,8.201392556
MB-3502,5.621960372,8.01266794,8.280240287,5.902442912000001,9.149774169,6.160031861,8.672536083999999,7.410638226,8.625852089
MB-3567,5.602771852999999,7.984117247,8.897216838,5.473199218,8.67386628,6.855420859,6.377736036,6.923165437000001,8.926549934
MB-3752,5.940108737,7.630781588,9.539574863,5.5485959089999985,6.868240723,6.911284817,7.03426437,8.112305843,7.737115757000001
MB-0079,5.71998755,7.493843568,7.066873471,5.480582227,7.652561627000001,6.184424093,6.390725523,7.226471227999999,8.027209089
MB-0062,5.646977835,8.759215702,6.773415567000001,5.6695889789999985,8.360418995,6.611195099,8.134239948,7.32329919,7.509111766
MB-4015,5.352099894,6.948194731,8.006829768,5.643944778,9.335180264,6.272911438,6.7031587870000005,7.501218613,9.348161198
MB-2929,5.876601859,6.531322668,7.750715914,5.3904221360000015,8.715827922,5.69532555,6.616767393,6.614695338,8.545850762999999
MB-2724,7.161329137,6.7622394739999985,9.483142151000001,5.412779192,5.363314702,6.7368872,6.43605315,6.542352239,7.583689727999999
MB-3062,5.720479932999999,7.282649767,8.434915617,5.622783104,8.206837325,6.621312926,7.463230876,7.980880665,8.377818981
MB-4707,5.580606772,8.013386958,8.297845105,5.890360758,9.582710176,5.842405199,8.159321565,8.528205088,8.386875871
MB-3383,5.32860335,7.110607998,7.45564243,5.515964321,7.918489985,6.200417419,8.602801165,7.98308657,8.286103454
MB-3297,5.821890407000001,7.43206816,7.065817943,5.334861378,8.026595129,6.540998894,6.928173677,8.284851037000001,7.805507428999999
MB-7114,5.5908289889999985,7.453552421,8.461793734,5.394467958,9.896455383,6.099873124,8.157702809,7.787526700000001,8.813914785
MB-7208,5.803147101,6.828695563999998,8.175427006,5.421760524,9.693125925,6.798448054,7.729308702000001,7.440333898,9.23380697
MB-7252,6.359608616,7.028674187999999,9.045932339,5.412912997,9.822393969,6.441777154,7.40749073,7.817265282,8.702133132
MB-3001,5.806860366,7.612621477,7.7546406810000015,5.77495003,9.322663542999999,6.437339848,8.619736421,8.105716888,8.547957301
MB-7066,5.893891642000001,6.578084082,7.041901872,5.477119412,9.749245917,5.995485934,6.144420714,6.5470860160000015,8.74968279
MB-7057,5.581310847999999,7.007156423,7.598260785,5.3610983580000005,9.117353189,6.4164743820000005,6.185818969,6.343692485,9.216737614
MB-7023,5.564772661,7.2209105189999985,8.204776514,5.475705425,8.252445407,6.450403787000001,7.313742652999999,8.664306956,8.73227354
MB-7017,5.541716837,7.217940952999999,8.300736022999999,5.6569353410000005,8.679121319,6.430355737,7.890867484,7.438962312,8.271460199
MB-3500,5.507024059,7.286583917000001,8.498753264,5.292431768999999,8.557114412,6.197718523,8.987281857000001,7.401715426,8.111468373
MB-3396,5.192741198999999,6.55045039,8.265947394,5.418237261,9.37489005,6.294158207000001,7.406803298,6.316303862000001,9.203283315
MB-7145,5.497214102999999,6.914092754,8.654618466,5.386172965,9.765927151,5.8338022889999985,7.124863469,8.291104847,8.680052961
MB-7155,5.88798266,7.1914345,7.746328574,5.749743128,8.203509116000001,6.663436686,8.520521485,8.737746421,7.840649482999999
MB-3218,5.754115721,7.33923197,7.809330849,5.567915325,10.14612375,6.031737197000001,8.332076489,8.577877032,9.039898131000001
MB-7270,5.766905692999999,7.972746237999999,9.443057602,5.50024141,9.631040522000001,6.514629072999999,7.819897668999999,8.557806969,8.954174038
MB-7269,5.536321922999999,6.778535158,8.103283848,5.502176583,10.02880805,6.451681343,8.75903525,7.909243677,9.276387121
MB-7008,5.763456288,6.33646786,8.401593286,5.453320754,8.363647722,6.033098169,6.296082612,6.076395769,8.547228763
MB-7007,5.810128142999999,8.099347118999999,8.174985697,5.678957221,9.918777275,6.143062305,10.63554675,8.208014647,9.360649537
MB-7009,5.492953002,7.714533677,7.959333155,5.240096527,8.543344584,6.401101464,7.806506652,8.056208018,7.931710555
MB-3153,5.798318121,7.144407125,7.932111577000001,5.490406158,9.033943395,6.122368709,9.15341529,7.342334693,8.623256035
MB-3211,5.524677509,6.924277263,8.012470015,5.583719462,8.341949026,6.119609854,7.727914931,7.697242277000001,8.328357522000001
MB-7081,5.813168604,7.988027955,9.153158105,5.61764266,8.6383881,7.320191594,8.020261415,7.559169177,8.505792008
MB-7055,5.415598211,6.8362770610000005,9.145101167,5.724368209,8.141799888,5.9866771660000015,8.354910874,8.3648883,9.756288138
MB-7121,5.947770143,6.952149166,8.988234022,5.541440356,8.052580792,6.724472626,8.77813355,7.586089051,8.921822959
MB-2771,5.535207252999999,6.899764886,7.148412289,5.326259458,9.07122936,6.212065261,6.823255711,7.561481712999999,7.880157962
MB-7158,5.839698515,6.7006725189999985,9.249278778999999,5.647185153,9.011730641,6.5692697870000005,7.175497067999999,6.7589047760000005,8.547228763
MB-7258,5.574293262,6.499292782,7.207605551,5.385198451,9.699893878,5.514984078,8.196596013999999,8.251116834,9.516851427999999
MB-2993,5.750282557999999,6.891560902999999,7.791695516,5.427298494,9.083865411,6.350223589,6.744283952000001,7.572372297999999,7.71155547
MB-2904,6.190734309,6.666675213,8.265681106,5.538408535,7.658215267999999,6.40581877,8.065525843,6.921511177999999,8.112043322
MB-7154,5.7099737,7.144407125,8.813906783,5.289742109,8.771532675,6.932510759,7.889834058,7.664365391,8.214534779
MB-7151,5.308684109,7.016441179,6.691976968,5.465710477000001,8.69040773,5.915114665,8.343800568999999,9.544203668,8.382338117
MB-7165,5.81433414,8.21159095,8.554989256,5.391459285,9.911134308,6.802958566,8.352471716,8.64632074,7.962958391
MB-2850,5.715427288,6.664521664,8.524202453,5.312182552,8.447127023,6.767386294,7.492568759,7.657950231,8.604885548
MB-7267,5.545945745,7.185503365,8.084892466,5.743205621,9.101870956,6.20204192,8.298101812999999,9.240143877000001,8.294902388999999
MB-2833,6.457744185,7.402157892999999,8.278077613999999,5.594150115,7.556147066,6.744968577000001,6.52716213,6.856143009,7.616417476
MB-7052,5.792426552999999,7.10483028,8.128801605,5.574179462999999,9.743492524,6.376745708,8.489112419,8.381039125,7.732430292999999
MB-7090,5.380184741,7.48455482,7.956407574,5.398191081,9.905890863,5.783571557999999,7.39089187,7.552593674,9.080608147000001
MB-7087,5.443823957,7.2362226939999985,9.464891707,5.454157325,8.505327058999999,7.055478189,7.388779004,8.127024303999999,8.672517312
MB-7025,5.91491807,6.742760727,9.033744746,5.4045497010000005,8.042424091,6.8172735960000015,7.422767241,6.794698252000001,7.906123846
MB-7036,5.34984356,7.666306668,8.089696904,5.52602585,10.46688242,6.735420877999999,8.695865733,8.170096297,9.024013169
MB-4769,5.439953284,7.100660596,8.4908628,5.78930426,10.11032328,6.135179171,7.199416993,8.249881137000001,8.854470053
MB-4793,5.340602124,7.332126366000002,7.773126126,5.578949808,9.81153027,6.731431353,9.471930565,8.348152189,9.452843915
