"","GeneID","Gene_Expression","TCGA"
"108","FLT3",6.31127604169637,"Non_TNBC"
"109","FLT3",3.57880590660053,"Non_TNBC"
"110","FLT3",5.36250144955076,"Non_TNBC"
"111","FLT3",5.02198600320672,"Non_TNBC"
"112","FLT3",0,"Non_TNBC"
"113","FLT3",3.8236372821876,"Non_TNBC"
"114","FLT3",4.7062708330034,"Non_TNBC"
"115","FLT3",1.51762844886693,"Non_TNBC"
"116","FLT3",6.52472035134553,"Non_TNBC"
"117","FLT3",6.15848851188861,"Non_TNBC"
"118","FLT3",6.53922706603298,"Non_TNBC"
"119","FLT3",6.37240715481728,"Non_TNBC"
"120","FLT3",2.62353915217348,"Non_TNBC"
"121","FLT3",8.8211725477078,"Non_TNBC"
"122","FLT3",8.08493431922316,"Non_TNBC"
"123","FLT3",3.99809619031422,"Non_TNBC"
"124","FLT3",1.01092302718479,"Non_TNBC"
"125","FLT3",7.81906906480202,"Non_TNBC"
"126","FLT3",6.03586360591422,"Non_TNBC"
"127","FLT3",9.2627730345711,"Non_TNBC"
"128","FLT3",5.0492386777532,"Non_TNBC"
"129","FLT3",4.01319424202565,"Non_TNBC"
"130","FLT3",6.60594466129071,"Non_TNBC"
"131","FLT3",5.54939810093349,"Non_TNBC"
"132","FLT3",7.17350824990821,"Non_TNBC"
"133","FLT3",6.61499688242915,"Non_TNBC"
"134","FLT3",8.95563479765224,"Non_TNBC"
"135","FLT3",6.48299828716477,"Non_TNBC"
"136","FLT3",5.28701048196623,"Non_TNBC"
"137","FLT3",9.56924651060033,"Non_TNBC"
"138","FLT3",5.98451416056936,"Non_TNBC"
"139","FLT3",5.0145427597314,"Non_TNBC"
"140","FLT3",3.08547564598687,"Non_TNBC"
"141","FLT3",3.43124853243476,"Non_TNBC"
"142","FLT3",10.4474516038039,"Non_TNBC"
"143","FLT3",8.81395879207442,"Non_TNBC"
"144","FLT3",3.11420042237189,"Non_TNBC"
"145","FLT3",8.20701383195578,"Non_TNBC"
"146","FLT3",2.9061209529971,"Non_TNBC"
"147","FLT3",6.4325352192959,"Non_TNBC"
"148","FLT3",9.94361018552131,"Non_TNBC"
"149","FLT3",3.39196013976987,"Non_TNBC"
"150","FLT3",5.58927212012228,"Non_TNBC"
"151","FLT3",6.90660082525573,"Non_TNBC"
"152","FLT3",8.63433261309716,"Non_TNBC"
"153","FLT3",5.15135553873949,"Non_TNBC"
"154","FLT3",5.22275433781801,"Non_TNBC"
"155","FLT3",2.62344550716235,"Non_TNBC"
"156","FLT3",6.26045478637753,"Non_TNBC"
"157","FLT3",4.90724160869694,"Non_TNBC"
"158","FLT3",2.05956294429733,"Non_TNBC"
"159","FLT3",7.08856989699556,"Non_TNBC"
"160","FLT3",6.08076211000316,"Non_TNBC"
"161","FLT3",7.57241677490359,"Non_TNBC"
"162","FLT3",8.69521750169756,"Non_TNBC"
"163","FLT3",5.91610875807223,"Non_TNBC"
"164","FLT3",6.36285558452604,"Non_TNBC"
"165","FLT3",6.29032671193711,"Non_TNBC"
"166","FLT3",5.70606081280814,"Non_TNBC"
"167","FLT3",3.44805516771719,"Non_TNBC"
"168","FLT3",4.67926614252267,"Non_TNBC"
"169","FLT3",6.34887861151225,"Non_TNBC"
"170","FLT3",1.68450458623578,"Non_TNBC"
"171","FLT3",3.07637096473581,"Non_TNBC"
"172","FLT3",3.62069196964178,"Non_TNBC"
"173","FLT3",3.70807684962172,"Non_TNBC"
"174","FLT3",7.65616097075746,"Non_TNBC"
"175","FLT3",8.95214279042244,"Non_TNBC"
"176","FLT3",0,"Non_TNBC"
"177","FLT3",5.15983098110793,"Non_TNBC"
"178","FLT3",4.61512198382402,"Non_TNBC"
"179","FLT3",1.28617145110702,"Non_TNBC"
"180","FLT3",7.35611299060505,"Non_TNBC"
"181","FLT3",4.35080838305008,"Non_TNBC"
"182","FLT3",3.09171675714654,"Non_TNBC"
"183","FLT3",7.19847745568318,"Non_TNBC"
"184","FLT3",4.01242564831796,"Non_TNBC"
"185","FLT3",5.25933275502327,"Non_TNBC"
"186","FLT3",2.36387192485753,"Non_TNBC"
"187","FLT3",6.06600305683938,"Non_TNBC"
"188","FLT3",4.68932711947119,"Non_TNBC"
"189","FLT3",9.86779347684166,"Non_TNBC"
"190","FLT3",3.02952356109394,"Non_TNBC"
"191","FLT3",4.07024333350647,"Non_TNBC"
"192","FLT3",5.9745247237519,"Non_TNBC"
"193","FLT3",4.33393888996737,"Non_TNBC"
"194","FLT3",5.53017064839464,"Non_TNBC"
